date,competition,home_team,away_team,home_score,away_score,result
01/04/1920,Primera División,Independiente,Quilmes,3,1,WIN
01/08/1920,Primera División,Racing Club,Independiente,1,0,LOSS
02/05/1920,Primera División,San Isidro,Independiente,3,0,LOSS
03/06/1920,Primera División,Tigre,Independiente,4,2,LOSS
03/10/1920,Primera División,Independiente,Tigre,4,1,WIN
04/04/1920,Primera División,Estudiantes,Independiente,0,10,WIN
05/09/1920,Primera División,River Plate,Independiente,3,1,LOSS
05/12/1920,Primera División,Barracas Central,Independiente,1,1,DRAW
06/06/1920,Primera División,Independiente,Sp. Buenos Aires,1,1,DRAW
08/08/1920,Primera División,Quilmes,Independiente,1,0,LOSS
08/12/1920,Primera División,Independiente,San Isidro,2,3,LOSS
09/05/1920,Primera División,Independiente,Platense,3,2,WIN
11/04/1920,Primera División,Independiente,River Plate,1,1,DRAW
11/11/1920,Primera División,Independiente,Def. de Belgrano,1,1,DRAW
12/09/1920,Primera División,Independiente,Ferro Carril Oeste,5,0,WIN
12/12/1920,Primera División,Independiente,Vélez Sarsfield,0,2,LOSS
13/05/1920,Primera División,Independiente,San Lorenzo,0,2,LOSS
13/06/1920,Primera División,Independiente,Gimnasia y Esgrima La Plata,2,0,WIN
15/08/1920,Primera División,Independiente,Estudiantil Porteño,2,3,LOSS
16/05/1920,Primera División,Ferro Carril Oeste,Independiente,2,2,DRAW
17/10/1920,Primera División,Independiente,Racing Club,2,1,WIN
18/04/1920,Primera División,Estudiantil Porteño,Independiente,1,1,DRAW
19/09/1920,Primera División,Independiente,Lanús,2,2,DRAW
20/06/1920,Primera División,Vélez Sarsfield,Independiente,0,0,DRAW
21/11/1920,Primera División,Independiente,Estudiantes,3,3,DRAW
24/10/1920,Primera División,Gimnasia y Esgrima La Plata,Independiente,2,0,LOSS
25/04/1920,Primera División,Independiente,Barracas Central,2,0,WIN
25/07/1920,Primera División,Sp. Almagro,Independiente,1,1,DRAW
26/09/1920,Copa Competencia,San Isidro,Independiente,1,0,LOSS
26/09/1920,Primera División,Platense,Independiente,0,2,WIN
27/06/1920,Primera División,Independiente,Atlanta,2,0,WIN
28/11/1920,Primera División,San Lorenzo,Independiente,3,0,LOSS
29/06/1920,Copa Competencia,Tigre,Independiente,0,3,WIN
30/05/1920,Primera División,Def. de Belgrano,Independiente,1,1,DRAW
31/10/1920,Primera División,Atlanta,Independiente,1,2,WIN
