date,competition,home_team,away_team,home_score,away_score,result
01/04/1962,Primera División,Independiente,Boca Juniors,1,1,DRAW
01/11/1962,Primera División,Rosario Central,Independiente,2,0,LOSS
02/09/1962,Primera División,Independiente,Huracán,1,0,WIN
02/12/1962,Primera División,Ferro Carril Oeste,Independiente,2,4,WIN
04/11/1962,Primera División,Independiente,Gimnasia y Esgrima La Plata,1,1,DRAW
05/08/1962,Primera División,Racing Club,Independiente,2,2,DRAW
07/10/1962,Primera División,Chacarita Juniors,Independiente,3,0,LOSS
08/04/1962,Primera División,Estudiantes de La Plata,Independiente,0,3,WIN
08/07/1962,Primera División,Independiente,Rosario Central,0,1,LOSS
09/09/1962,Primera División,Independiente,Quilmes,4,0,WIN
09/12/1962,Primera División,Independiente,Argentinos Juniors,0,0,DRAW
12/10/1962,Primera División,River Plate,Independiente,4,1,LOSS
14/10/1962,Primera División,Independiente,Vélez Sarsfield,0,0,DRAW
14/12/1962,Primera División,Huracán,Independiente,0,1,WIN
15/04/1962,Primera División,Independiente,Chacarita Juniors,0,0,DRAW
19/04/1962,Primera División,Independiente,River Plate,2,0,WIN
19/08/1962,Primera División,Independiente,Ferro Carril Oeste,4,0,WIN
21/10/1962,Primera División,Atlanta,Independiente,0,0,DRAW
22/07/1962,Primera División,Gimnasia y Esgrima La Plata,Independiente,4,2,LOSS
24/06/1962,Primera División,Independiente,Atlanta,1,1,DRAW
25/03/1962,Primera División,Quilmes,Independiente,2,3,WIN
25/11/1962,Primera División,Independiente,Racing Club,0,0,DRAW
26/08/1962,Primera División,Argentinos Juniors,Independiente,0,2,WIN
26/09/1962,Primera División,Boca Juniors,Independiente,0,0,DRAW
28/10/1962,Primera División,Independiente,San Lorenzo,2,1,WIN
30/09/1962,Primera División,Independiente,Estudiantes de La Plata,2,1,WIN
