date,competition,home_team,away_team,home_score,away_score,result
02/03/1980,Primera División,Estudiantes de La Plata,Independiente,1,1,DRAW
02/07/1980,Primera División,Independiente,Racing Club,1,0,WIN
02/11/1980,Campeonato Nacional,Racing Club,Independiente,1,2,WIN
03/04/1980,Primera División,Independiente,Vélez Sarsfield,1,0,WIN
03/08/1980,Primera División,Independiente,Quilmes,1,0,WIN
04/06/1980,Primera División,Independiente,Ferro Carril Oeste,2,0,WIN
05/03/1980,Primera División,Independiente,Rosario Central,2,0,WIN
05/07/1980,Primera División,Talleres de Córdoba,Independiente,5,0,LOSS
05/10/1980,Campeonato Nacional,Independiente,Jorge M. Olguín y Jorge A. Sanabria,5,2,WIN
06/04/1980,Primera División,All Boys,Independiente,2,2,DRAW
07/08/1980,Primera División,Newell’s Old Boys,Independiente,0,0,DRAW
07/09/1980,Campeonato Nacional,Independiente,Ferro Carril Oeste,0,1,LOSS
08/06/1980,Primera División,Colón,Independiente,2,1,LOSS
08/07/1980,Primera División,Independiente,Huracán,1,1,DRAW
09/11/1980,Campeonato Nacional,Independiente,Atlético Concepción de Tucumán,3,0,WIN
10/02/1980,Primera División,Independiente,Argentinos Juniors,2,3,LOSS
10/08/1980,Primera División,Independiente,River Plate,2,2,DRAW
10/12/1980,Campeonato Nacional,Racing de Córdoba,Independiente,4,0,LOSS
14/12/1980,Campeonato Nacional,Independiente,Antonio Alzamendi,5,3,WIN
15/06/1980,Primera División,Independiente,Estudiantes de La Plata,0,1,LOSS
16/03/1980,Primera División,Independiente,Platense,4,2,WIN
16/11/1980,Campeonato Nacional,Central Norte de Salta,Independiente,1,4,WIN
17/02/1980,Primera División,Ferro Carril Oeste,Independiente,2,1,LOSS
17/08/1980,Primera División,Tigre,Independiente,0,1,WIN
19/03/1980,Primera División,Racing Club,Independiente,1,1,DRAW
19/06/1980,Primera División,Rosario Central,Independiente,2,1,LOSS
19/10/1980,Campeonato Nacional,Chaco For Ever,Independiente,0,1,WIN
20/04/1980,Primera División,Quilmes,Independiente,2,2,DRAW
20/07/1980,Primera División,Independiente,All Boys,2,1,WIN
22/06/1980,Primera División,Independiente,Boca Juniors,0,1,LOSS
23/03/1980,Primera División,Independiente,Talleres de Córdoba,1,1,DRAW
23/04/1980,Primera División,Independiente,Newell’s Old Boys,0,5,LOSS
23/11/1980,Campeonato Nacional,Independiente,Chaco For Ever,2,0,WIN
24/09/1980,Campeonato Nacional,Independiente,Quilmes,1,0,WIN
25/05/1980,Primera División,San Lorenzo,Independiente,1,1,DRAW
26/10/1980,Campeonato Nacional,Ferro Carril Oeste,Independiente,1,1,DRAW
27/04/1980,Primera División,River Plate,Independiente,1,1,DRAW
28/05/1980,Primera División,Independiente,Tigre,1,1,DRAW
28/09/1980,Campeonato Nacional,Atlético Concepción,Independiente,1,0,LOSS
29/06/1980,Primera División,Platense,Independiente,0,0,DRAW
29/10/1980,Campeonato Nacional,Independiente,Newell’s Old Boys,3,3,DRAW
30/11/1980,Campeonato Nacional,Instituto de Córdoba,Independiente,2,1,LOSS
31/03/1980,Primera División,Huracán,Independiente,3,1,LOSS
31/08/1980,Primera División,Independiente,San Lorenzo,0,0,DRAW
