date,competition,home_team,away_team,home_score,away_score,result
01/11/1921,Primera División,Independiente,San Lorenzo,2,1,WIN
02/10/1921,Primera División,Atlanta,Independiente,0,2,WIN
03/04/1921,Primera División,Independiente,Racing Club,1,1,DRAW
04/09/1921,Primera División,Independiente,Barracas Central,0,1,LOSS
04/12/1921,Primera División,Vélez Sarsfield,Independiente,1,3,WIN
05/05/1921,Primera División,Estudiantil Porteño,Independiente,1,0,LOSS
05/06/1921,Primera División,Independiente,Estudiantes,6,0,WIN
08/05/1921,Primera División,Independiente,Atlanta,2,0,WIN
10/04/1921,Primera División,Lanús,Independiente,1,2,WIN
10/07/1921,Primera División,Quilmes,Independiente,1,1,DRAW
11/11/1921,Primera División,Independiente,Banfield,1,0,WIN
13/11/1921,Primera División,Sp. Almagro,Independiente,0,1,WIN
14/08/1921,Primera División,Independiente,Gimnasia y Esgrima La Plata,1,2,LOSS
15/05/1921,Primera División,Barracas Central,Independiente,1,0,LOSS
16/10/1921,Primera División,San Isidro,Independiente,0,0,DRAW
17/04/1921,Primera División,Independiente,River Plate,3,1,WIN
17/07/1921,Primera División,San Lorenzo,Independiente,0,2,WIN
18/09/1921,Primera División,Independiente,Estudiantil Porteño,4,1,WIN
18/12/1921,Primera División,Gimnasia y Esgrima La Plata,Independiente,0,0,DRAW
19/06/1921,Primera División,Independiente,Sp. Almagro,6,0,WIN
20/11/1921,Primera División,Independiente,Platense,0,0,DRAW
21/08/1921,Primera División,Racing Club,Independiente,1,0,LOSS
22/05/1921,Primera División,Independiente,San Isidro,2,1,WIN
23/10/1921,Primera División,Independiente,Lanús,3,0,WIN
24/04/1921,Primera División,Platense,Independiente,2,0,LOSS
24/07/1921,Primera División,Independiente,Vélez Sarsfield,1,0,WIN
26/06/1921,Primera División,Sp. Buenos Aires,Independiente,2,4,WIN
27/11/1921,Primera División,Def. de Belgrano,Independiente,0,2,WIN
28/08/1921,Primera División,Estudiantes,Independiente,1,1,DRAW
29/05/1921,Primera División,Banfield,Independiente,1,2,WIN
29/06/1921,Primera División,Independiente,Def. de Belgrano,0,0,DRAW
