date,competition,home_team,away_team,home_score,away_score,result
01/10/1950,Primera División,Rosario Central,Independiente,2,4,WIN
01/10/1950,Primera División,Independiente,Boca Juniors,3,1,WIN
02/04/1950,Primera División,Quilmes,Independiente,2,2,DRAW
02/07/1950,Primera División,San Lorenzo,Independiente,2,2,DRAW
03/09/1950,Primera División,Ferro Carril Oeste,Independiente,1,2,WIN
03/12/1950,Primera División,Boca Juniors,Independiente,2,3,WIN
04/06/1950,Primera División,Boca Juniors,Independiente,3,0,LOSS
05/11/1950,Primera División,Tigre,Independiente,2,3,WIN
06/08/1950,Primera División,Independiente,Newell’s Old Boys,2,1,WIN
08/12/1950,Primera División,Independiente,Boca Juniors,2,3,LOSS
09/04/1949,Primera División,Independiente,Estudiantes de La Plata,2,0,WIN
10/09/1950,Primera División,Independiente,Huracán,3,2,WIN
10/12/1950,Primera División,Boca Juniors,Independiente,3,3,DRAW
12/10/1950,Primera División,Gimnasia y Esgrima La Plata,Independiente,0,4,WIN
12/11/1950,Primera División,Independiente,Platense,4,0,WIN
13/08/1950,Primera División,Independiente,Quilmes,2,1,WIN
16/04/1949,Primera División,Atlanta,Independiente,3,2,LOSS
17/09/1950,Primera División,Banfield,Independiente,2,0,LOSS
18/05/1950,Primera División,Independiente,Banfield,2,1,WIN
18/06/1950,Primera División,Chacarita Juniors,Independiente,2,1,LOSS
20/08/1950,Primera División,Estudiantes de La Plata,Independiente,1,0,LOSS
21/05/1950,Primera División,Racing Club,Independiente,3,1,LOSS
22/10/1950,Primera División,Vélez Sarsfield,Independiente,1,0,LOSS
23/07/1950,Primera División,Platense,Independiente,3,0,LOSS
24/09/1950,Primera División,Independiente,Racing Club,2,4,LOSS
25/06/1950,Primera División,Independiente,Vélez Sarsfield,1,2,LOSS
26/11/1950,Primera División,Newell’s Old Boys,Independiente,1,1,DRAW
28/05/1950,Primera División,Independiente,Rosario Central,3,2,WIN
29/10/1950,Primera División,Independiente,San Lorenzo,4,1,WIN
30/04/1950,Primera División,Independiente,Ferro Carril Oeste,1,2,LOSS
30/07/1950,Primera División,River Plate,Independiente,0,1,WIN
