date,competition,home_team,away_team,home_score,away_score,result
01/10/1972,Campeonato Metropolitano,Chacarita Juniors,Independiente,3,1,LOSS
01/11/1972,Campeonato Nacional,Gimnasia y Esgrima La Plata,Independiente,1,1,DRAW
02/04/1972,Campeonato Metropolitano,Independiente,Atlanta,3,1,WIN
03/12/1972,Campeonato Nacional,River Plate,Independiente,7,2,LOSS
05/03/1972,Campeonato Metropolitano,Independiente,Ferro Carril Oeste,3,1,WIN
05/11/1972,Campeonato Nacional,Independiente,Vélez Sarsfield,5,0,WIN
06/08/1972,Campeonato Metropolitano,Independiente,Huracán,1,1,DRAW
06/12/1972,Campeonato Nacional,Independiente,Bartolomé Mitre de Posadas,5,0,WIN
07/05/1972,Campeonato Metropolitano,Gimnasia y Esgrima La Plata,Independiente,0,1,WIN
08/07/1972,Campeonato Metropolitano,Independiente,Racing Club,2,1,WIN
08/11/1972,Campeonato Nacional,San Martín de Tucumán,Independiente,0,1,WIN
09/04/1972,Campeonato Metropolitano,Huracán,Independiente,1,1,DRAW
10/09/1972,Campeonato Metropolitano,Independiente,Gimnasia y Esgrima La Plata,4,1,WIN
10/11/1972,Campeonato Nacional,Independiente,San Lorenzo de Mar del Plata,4,1,WIN
10/12/1972,Campeonato Nacional,Independiente de Trelew,Independiente,0,0,DRAW
11/06/1972,Campeonato Metropolitano,Ferro Carril Oeste,Independiente,0,1,WIN
12/03/1972,Campeonato Metropolitano,Newell’s Old Boys,Independiente,5,4,LOSS
12/04/1972,Campeonato Metropolitano,Independiente,Vélez Sarsfield,1,1,DRAW
12/05/1972,Campeonato Metropolitano,Independiente,Argentinos Juniors,0,0,DRAW
13/08/1972,Campeonato Metropolitano,Vélez Sarsfield,Independiente,1,3,WIN
15/03/1972,Campeonato Metropolitano,Independiente,River Plate,0,2,LOSS
15/10/1972,Campeonato Nacional,Independiente,Lanús,1,3,LOSS
16/07/1972,Campeonato Metropolitano,Estudiantes de La Plata,Independiente,1,0,LOSS
17/09/1972,Campeonato Metropolitano,Argentinos Juniors,Independiente,0,0,DRAW
18/06/1972,Campeonato Metropolitano,Independiente,Newell’s Old Boys,1,1,DRAW
19/03/1972,Campeonato Metropolitano,Racing Club,Independiente,1,1,DRAW
19/11/1972,Campeonato Nacional,Independiente,Racing Club,1,2,LOSS
21/07/1972,Campeonato Metropolitano,Independiente,Lanús,2,1,WIN
22/09/1972,Campeonato Metropolitano,Independiente,Banfield,2,0,WIN
22/10/1972,Campeonato Nacional,Atlanta,Independiente,1,1,DRAW
23/04/1972,Campeonato Metropolitano,Independiente,Boca Juniors,1,0,WIN
25/06/1972,Campeonato Metropolitano,River Plate,Independiente,1,0,LOSS
26/03/1972,Campeonato Metropolitano,Independiente,Estudiantes de La Plata,1,2,LOSS
26/05/1972,Campeonato Metropolitano,Independiente,Chacarita Juniors,1,1,DRAW
27/02/1972,Campeonato Metropolitano,San Lorenzo,Independiente,3,2,LOSS
27/08/1972,Campeonato Metropolitano,Boca Juniors,Independiente,4,2,LOSS
29/11/1972,Campeonato Nacional,Independiente,San Lorenzo,1,3,LOSS
30/03/1972,Campeonato Metropolitano,Lanús,Independiente,1,0,LOSS
30/07/1972,Campeonato Metropolitano,Atlanta,Independiente,0,1,WIN
