date,competition,home_team,away_team,home_score,away_score,result
01/11/1912,Primera División,Gimnasia y Esgrima,Independiente,3,3,DRAW
04/08/1912,Primera División,Independiente,Gimnasia y Esgrima,3,1,WIN
08/12/1912,Primera División,Independiente,Argentino de Quilmes,5,0,WIN
14/07/1912,Primera División,Independiente,Kimberley,3,0,WIN
15/08/1912,Primera División,Atlanta,Independiente,1,0,LOSS
17/11/1912,Primera División,Estudiantes de La Plata,Independiente,2,0,LOSS
18/08/1912,Primera División,Sociedad Sportiva Argentina,Independiente,1,4,WIN
21/07/1912,Primera División,Porteño,Independiente,0,0,DRAW
22/12/1912,Primera División,Porteño,Independiente,1,1,DRAW
25/08/1912,Primera División,Independiente,Estudiantes de La Plata,0,1,LOSS
27/10/1912,Primera División,Independiente,Atlanta,4,1,WIN
28/07/1912,Primera División,Argentino de Quilmes,Independiente,1,3,WIN
29/09/1912,Primera División,Independiente,Porteño,1,0,WIN
30/08/1912,Primera División,Kimberley,Independiente,1,7,WIN
