date,competition,home_team,away_team,home_score,away_score,result
01/06/1969,Campeonato Metropolitano,Lanús,Independiente,1,1,DRAW
02/11/1969,Campeonato Nacional,San Martín de Mendoza,Independiente,0,2,WIN
03/04/1969,Campeonato Metropolitano,Colón,Independiente,2,0,LOSS
04/06/1969,Campeonato Metropolitano,Independiente,Colón,4,1,WIN
06/02/1969,Copa,Unión,Independiente,2,4,WIN
06/04/1969,Campeonato Metropolitano,Independiente,Vélez Sarsfield,0,1,LOSS
07/07/1969,Primera División,Independiente,Mitre,2,1,WIN
07/09/1969,Campeonato Nacional,Independiente,River Plate,1,0,WIN
07/12/1969,Campeonato Nacional,Boca Juniors,Independiente,2,0,LOSS
08/06/1969,Campeonato Metropolitano,Vélez Sarsfield,Independiente,0,0,DRAW
09/02/1969,Copa,Unión,Independiente,1,1,DRAW
09/11/1969,Campeonato Nacional,Independiente,Talleres de Córdoba,1,0,WIN
11/05/1969,Campeonato Metropolitano,Independiente,Gimnasia y Esgrima La Plata,2,1,WIN
12/02/1969,Copa,Colón,Independiente,1,3,WIN
12/10/1969,Campeonato Nacional,Quilmes,Independiente,0,2,WIN
12/11/1969,Campeonato Nacional,Unión,Independiente,1,4,WIN
13/04/1969,Campeonato Metropolitano,Racing Club,Independiente,2,2,DRAW
13/07/1969,Primera División,Independiente,Juventud Antoniana,0,3,LOSS
14/09/1969,Campeonato Nacional,Vélez Sarsfield,Independiente,1,0,LOSS
14/12/1969,Campeonato Nacional,Independiente,Racing Club,1,3,LOSS
15/02/1969,Copa,Colón,Independiente,5,1,LOSS
15/06/1969,Campeonato Metropolitano,Independiente,Racing Club,2,1,WIN
15/10/1969,Campeonato Nacional,Independiente,Platense,1,1,DRAW
16/03/1969,Campeonato Metropolitano,Independiente,San Lorenzo,2,0,WIN
16/11/1969,Campeonato Nacional,Independiente,San Lorenzo de Mar del Plata,1,1,DRAW
19/10/1969,Campeonato Nacional,Lanús,Independiente,1,3,WIN
20/04/1969,Campeonato Metropolitano,Atlanta,Independiente,0,1,WIN
20/05/1969,Campeonato Metropolitano,San Lorenzo,Independiente,0,1,WIN
20/06/1969,Campeonato Metropolitano,Independiente,Atlanta,3,2,WIN
20/07/1969,Primera División,Juventud Antoniana,Independiente,3,1,LOSS
21/09/1969,Campeonato Nacional,Independiente,San Lorenzo,2,0,WIN
23/02/1969,Campeonato Metropolitano,Banfield,Independiente,3,1,LOSS
23/11/1969,Campeonato Nacional,Huracán,Independiente,1,2,WIN
27/04/1969,Campeonato Metropolitano,Independiente,Boca Juniors,0,0,DRAW
28/09/1969,Campeonato Nacional,Chacarita Juniors,Independiente,1,1,DRAW
29/10/1969,Campeonato Nacional,Independiente,Estudiantes de La Plata,4,0,WIN
30/03/1969,Campeonato Metropolitano,Independiente,Lanús,1,1,DRAW
30/11/1969,Campeonato Nacional,Independiente,San Martín de Tucumán,7,1,WIN
