date,competition,home_team,away_team,home_score,away_score,result
01/11/1936,Copa,Huracán,Independiente,0,2,WIN
02/05/1936,Primera División,Independiente,Almagro,9,2,WIN
03/05/1936,Copa de Honor,Independiente,Quilmes,1,1,DRAW
03/10/1936,Primera División,Sp. Dock Sud,Independiente,1,3,WIN
04/04/1936,Primera División,Independiente,Barracas Central,5,1,WIN
04/07/1936,Primera División,Excursionistas,Independiente,2,1,LOSS
04/10/1936,Copa,Independiente,Estudiantes de La Plata,3,1,WIN
05/04/1936,Copa de Honor,Independiente,San Lorenzo,1,1,DRAW
05/07/1936,Copa de Honor,Independiente,Racing Club,1,1,DRAW
05/09/1936,Primera División,Independiente,River Plate,2,0,WIN
05/12/1936,Primera División,Tigre,Independiente,1,5,WIN
06/06/1936,Primera División,El Porvenir,Independiente,2,3,WIN
06/09/1936,Copa,Independiente,Atlanta,0,2,LOSS
06/12/1936,Copa,Talleres,Independiente,1,2,WIN
07/06/1936,Copa de Honor,Independiente,Huracán,0,1,LOSS
07/11/1936,Primera División,Atlanta,Independiente,2,1,LOSS
08/08/1936,Primera División,Independiente,Boca Juniors,1,0,WIN
08/11/1936,Copa,Independiente,Ferro Carril Oeste,1,1,DRAW
09/05/1936,Primera División,Defensores de Belgrano,Independiente,2,2,DRAW
10/05/1936,Copa de Honor,Independiente,Tigre,3,0,WIN
10/10/1936,Primera División,Independiente,Argentinos Juniors,5,2,WIN
11/04/1936,Primera División,Nueva Chicago,Independiente,0,4,WIN
11/11/1936,Copa,Chacarita Juniors,Independiente,3,7,WIN
12/04/1936,Copa de Honor,Vélez Sarsfield,Independiente,5,3,LOSS
12/07/1936,Copa de Honor,Gimnasia y Esgrima La Plata,Independiente,1,1,DRAW
12/09/1936,Primera División,Lanús,Independiente,0,0,DRAW
13/06/1936,Primera División,Independiente,Banfield,2,0,WIN
13/09/1936,Copa,Quilmes,Independiente,1,2,WIN
13/12/1936,Copa,Independiente,River Plate,3,2,WIN
14/06/1936,Copa de Honor,Ferro Carril Oeste,Independiente,2,6,WIN
14/11/1936,Primera División,Independiente,Temperley,7,1,WIN
15/08/1936,Primera División,Platense,Independiente,2,1,LOSS
15/11/1936,Copa,Independiente,Argentinos Juniors,2,1,WIN
16/05/1936,Primera División,Independiente,Racing Club,8,1,WIN
16/08/1936,Copa,San Lorenzo,Independiente,2,1,LOSS
17/05/1936,Copa de Honor,Estudiantes de La Plata,Independiente,3,2,LOSS
18/04/1936,Primera División,Independiente,Talleres,1,3,LOSS
18/07/1936,Primera División,Independiente,Huracán,4,1,WIN
19/04/1936,Copa de Honor,Independiente,Platense,1,1,DRAW
19/09/1936,Primera División,Independiente,All Boys,3,1,WIN
20/06/1936,Primera División,Gimnasia y Esgrima La Plata,Independiente,3,3,DRAW
21/05/1936,Primera División,Sp. Buenos Aires,Independiente,1,5,WIN
21/06/1936,Copa de Honor,Independiente,Chacarita Juniors,4,2,WIN
21/11/1936,Primera División,San Lorenzo,Independiente,2,2,DRAW
22/08/1936,Primera División,Independiente,Quilmes,4,1,WIN
22/11/1936,Copa,Racing Club,Independiente,4,2,LOSS
23/08/1936,Copa,Independiente,Vélez Sarsfield,1,4,LOSS
24/05/1936,Copa de Honor,Independiente,Lanús,3,2,WIN
24/10/1936,Primera División,Estudiantes de La Plata,Independiente,4,3,LOSS
25/04/1936,Primera División,Argentino de Quilmes,Independiente,1,3,WIN
25/07/1936,Primera División,Ferro Carril Oeste,Independiente,0,1,WIN
25/10/1936,Copa,Independiente,Boca Juniors,3,1,WIN
26/04/1936,Copa de Honor,Atlanta,Independiente,2,5,WIN
26/07/1936,Copa de Honor,River Plate,Independiente,1,2,WIN
26/09/1936,Primera División,Colegiales,Independiente,1,0,LOSS
27/06/1936,Primera División,Independiente,Chacarita Juniors,7,1,WIN
27/09/1936,Copa,Tigre,Independiente,0,1,WIN
28/06/1936,Copa de Honor,Argentinos Juniors,Independiente,0,2,WIN
28/11/1936,Primera División,Independiente,Vélez Sarsfield,4,1,WIN
29/08/1936,Primera División,Sp. Barracas,Independiente,0,3,WIN
29/11/1936,Copa,Independiente,Gimnasia y Esgrima La Plata,1,0,WIN
30/05/1936,Primera División,Independiente,Estudiantil Porteño,5,3,WIN
30/08/1936,Copa,Platense,Independiente,5,1,LOSS
31/05/1936,Copa de Honor,Boca Juniors,Independiente,2,0,LOSS
31/10/1936,Primera División,Independiente,Estudiantes,2,1,WIN
