date,competition,home_team,away_team,home_score,away_score,result
01/03/1981,Primera División,Argentinos Juniors,Independiente,1,1,DRAW
01/11/1981,Campeonato Nacional,Independiente,Platense,3,0,WIN
02/08/1981,Primera División,Newell’s Old Boys,Independiente,3,0,LOSS
02/12/1981,Campeonato Nacional,Instituto de Córdoba,Independiente,1,2,WIN
03/05/1981,Primera División,Independiente,Newell’s Old Boys,2,0,WIN
04/10/1981,Campeonato Nacional,Gimnasia y Tiro de Salta,Independiente,0,2,WIN
05/04/1981,Primera División,Independiente,Boca Juniors,0,2,LOSS
05/07/1981,Primera División,Independiente,Huracán,0,0,DRAW
06/12/1981,Campeonato Nacional,Independiente,Instituto de Córdoba,0,0,DRAW
07/06/1981,Primera División,Independiente,Colón,1,0,WIN
08/03/1981,Primera División,Independiente,Estudiantes de La Plata,0,2,LOSS
08/11/1981,Campeonato Nacional,Racing de Córdoba,Independiente,2,1,LOSS
09/07/1981,Primera División,Platense,Independiente,2,1,LOSS
09/08/1981,Primera División,Instituto de Córdoba,Independiente,1,2,WIN
09/12/1981,Campeonato Nacional,Independiente,River Plate,1,1,DRAW
10/04/1981,Primera División,Huracán,Independiente,1,0,LOSS
10/05/1981,Primera División,Independiente,Instituto de Córdoba,2,1,WIN
10/06/1981,Primera División,Ferro Carril Oeste,Independiente,0,0,DRAW
11/03/1981,Primera División,Colón,Independiente,2,1,LOSS
12/07/1981,Primera División,Independiente,Sarmiento,1,0,WIN
13/05/1981,Primera División,River Plate,Independiente,1,2,WIN
13/09/1981,Campeonato Nacional,Independiente,Racing Club,0,0,DRAW
13/12/1981,Campeonato Nacional,River Plate,Independiente,0,0,DRAW
14/06/1981,Primera División,Independiente,Rosario Central,1,1,DRAW
14/10/1981,Campeonato Nacional,Vélez Sarsfield,Independiente,1,2,WIN
15/03/1981,Primera División,Independiente,Ferro Carril Oeste,0,1,LOSS
15/04/1981,Primera División,Independiente,Platense,5,2,WIN
15/08/1981,Primera División,Independiente,River Plate,1,1,DRAW
17/05/1981,Primera División,Vélez Sarsfield,Independiente,2,1,LOSS
18/10/1981,Campeonato Nacional,Racing Club,Independiente,1,2,WIN
19/04/1981,Primera División,Sarmiento,Independiente,3,3,DRAW
19/07/1981,Primera División,Unión,Independiente,2,0,LOSS
20/09/1981,Campeonato Nacional,Independiente,Huracán de San Rafael,4,0,WIN
21/06/1981,Primera División,Racing Club,Independiente,0,0,DRAW
22/11/1981,Campeonato Nacional,Newell’s Old Boys,Independiente,0,0,DRAW
24/05/1981,Primera División,Independiente,Argentinos Juniors,4,0,WIN
24/06/1981,Primera División,Independiente,Talleres de Córdoba,1,0,WIN
25/03/1981,Primera División,Independiente,Racing Club,1,2,LOSS
25/09/1981,Campeonato Nacional,Platense,Independiente,1,3,WIN
25/10/1981,Campeonato Nacional,Huracán de San Rafael,Independiente,2,2,DRAW
26/04/1981,Primera División,Independiente,Unión,1,0,WIN
26/07/1981,Primera División,Independiente,San Lorenzo,0,0,DRAW
28/03/1981,Primera División,Talleres de Córdoba,Independiente,0,5,WIN
28/06/1981,Primera División,Boca Juniors,Independiente,1,1,DRAW
30/04/1981,Primera División,San Lorenzo,Independiente,0,1,WIN
30/09/1981,Campeonato Nacional,Independiente,Racing de Córdoba,0,1,LOSS
