date,competition,home_team,away_team,home_score,away_score,result
01/09/1957,Primera División,Independiente,Newell’s Old Boys,4,0,WIN
02/06/1957,Primera División,Independiente,Tigre,2,0,WIN
03/11/1957,Primera División,Independiente,Atlanta,2,0,WIN
04/08/1957,Primera División,Independiente,River Plate,0,3,LOSS
05/05/1957,Primera División,Independiente,Huracán,2,0,WIN
05/12/1957,Primera División,River Plate,Independiente,2,0,LOSS
08/09/1957,Primera División,Estudiantes de La Plata,Independiente,0,0,DRAW
08/12/1957,Primera División,Independiente,Racing Club,2,2,DRAW
09/06/1957,Primera División,Independiente,Gimnasia y Esgrima La Plata,1,1,DRAW
10/11/1957,Primera División,Vélez Sarsfield,Independiente,1,0,LOSS
11/12/1957,Primera División,Argentinos Juniors,Independiente,0,0,DRAW
12/05/1957,Primera División,Newell’s Old Boys,Independiente,1,1,DRAW
15/08/1957,Primera División,Independiente,Argentinos Juniors,0,0,DRAW
15/09/1957,Primera División,Independiente,Boca Juniors,1,0,WIN
15/09/1957,Primera División,Tigre,Independiente,0,1,WIN
15/12/1957,Primera División,Independiente,Ferro Carril Oeste,1,0,WIN
16/06/1957,Primera División,Atlanta,Independiente,1,1,DRAW
17/11/1957,Primera División,Independiente,San Lorenzo,2,2,DRAW
18/08/1957,Primera División,Ferro Carril Oeste,Independiente,1,2,WIN
19/05/1957,Primera División,Independiente,Estudiantes de La Plata,2,3,LOSS
21/07/1957,Primera División,Independiente,Rosario Central,1,2,LOSS
23/06/1957,Primera División,Independiente,Vélez Sarsfield,3,0,WIN
23/11/1957,Primera División,Rosario Central,Independiente,0,0,DRAW
25/08/1957,Primera División,Huracán,Independiente,1,0,LOSS
26/05/1957,Primera División,Boca Juniors,Independiente,2,0,LOSS
27/07/1957,Primera División,Lanús,Independiente,3,0,LOSS
29/09/1957,Primera División,Gimnasia y Esgrima La Plata,Independiente,1,0,LOSS
29/11/1957,Primera División,Independiente,Lanús,3,1,WIN
30/06/1957,Primera División,San Lorenzo,Independiente,2,1,LOSS
