date,competition,home_team,away_team,home_score,away_score,result
01/09/1978,Campeonato Metropolitano,Independiente,Estudiantes,2,1,WIN
02/07/1978,Campeonato Metropolitano,Platense,Independiente,1,2,WIN
03/01/1979,Campeonato Nacional,Talleres de Córdoba,Independiente,1,2,WIN
03/12/1978,Campeonato Nacional,Vélez Sarsfield,Independiente,2,1,LOSS
05/11/1978,Campeonato Nacional,Deportivo Roca de Río Negro,Independiente,0,2,WIN
06/08/1978,Campeonato Metropolitano,Independiente,All Boys,1,1,DRAW
06/12/1978,Campeonato Nacional,Independiente,Argentinos Juniors,4,2,WIN
07/01/1979,Campeonato Nacional,River Plate,Independiente,0,0,DRAW
08/10/1978,Campeonato Metropolitano,Quilmes AC.,Independiente,1,0,LOSS
09/04/1978,Campeonato Metropolitano,Independiente,Newell’s Old Boys,0,0,DRAW
09/08/1978,Campeonato Metropolitano,Independiente,Unión,2,0,WIN
10/01/1979,Campeonato Nacional,Independiente,River Plate,2,0,WIN
10/09/1978,Campeonato Metropolitano,Newell’s Old Boys,Independiente,1,1,DRAW
11/10/1978,Campeonato Metropolitano,Independiente,Platense,1,1,DRAW
12/07/1978,Campeonato Metropolitano,Independiente,Banfield,2,3,LOSS
12/11/1978,Campeonato Nacional,Argentinos Juniors,Independiente,0,1,WIN
13/08/1978,Campeonato Metropolitano,Gimnasia y Esgrima La Plata,Independiente,1,1,DRAW
13/12/1978,Campeonato Nacional,Independiente,Gimnasia y Esgrima La Plata,3,1,WIN
14/05/1978,Campeonato Metropolitano,Huracán,Independiente,1,0,LOSS
15/11/1978,Campeonato Nacional,Independiente,Rosario Central,1,0,WIN
16/07/1978,Campeonato Metropolitano,Chacarita Juniors,Independiente,3,2,LOSS
17/08/1978,Campeonato Metropolitano,Independiente,Racing Club,1,0,WIN
17/12/1978,Campeonato Nacional,Racing de Córdoba,Independiente,1,1,DRAW
18/09/1978,Campeonato Metropolitano,Argentinos Juniors,Independiente,4,1,LOSS
19/05/1978,Campeonato Metropolitano,Independiente,Quilmes AC.,1,1,DRAW
19/10/1978,Campeonato Metropolitano,Independiente,Chacarita Juniors,4,0,WIN
19/11/1978,Campeonato Nacional,Gimnasia y Esgrima La Plata,Independiente,2,1,LOSS
20/08/1978,Campeonato Metropolitano,River Plate,Independiente,1,2,WIN
20/09/1978,Campeonato Metropolitano,Independiente,Colón,3,1,WIN
20/12/1978,Campeonato Nacional,Independiente,Independiente,2,1,WIN
22/10/1978,Campeonato Metropolitano,Rosario Central,Independiente,3,1,LOSS
22/11/1978,Campeonato Nacional,Independiente,Racing de Córdoba,3,1,WIN
23/03/1978,Campeonato Metropolitano,Boca Juniors,Independiente,1,1,DRAW
23/04/1978,Campeonato Metropolitano,Independiente,Argentinos Juniors,1,3,LOSS
23/07/1978,Campeonato Metropolitano,Independiente,Rosario Central,1,0,WIN
23/12/1978,Campeonato Nacional,Colón,Independiente,2,2,DRAW
24/09/1978,Campeonato Metropolitano,Estudiantes de La Plata,Independiente,1,1,DRAW
25/10/1978,Campeonato Metropolitano,Independiente,San Lorenzo,1,2,LOSS
26/03/1978,Campeonato Metropolitano,Independiente,Atlanta,6,1,WIN
26/04/1978,Campeonato Metropolitano,Colón,Independiente,1,2,WIN
26/11/1978,Campeonato Nacional,Altos Hornos Zapla de Jujuy,Independiente,1,4,WIN
27/12/1978,Campeonato Nacional,Independiente,Colón,2,0,WIN
29/11/1978,Campeonato Nacional,Independiente,Deportivo Roca de Río Negro,4,1,WIN
30/04/1978,Campeonato Metropolitano,Independiente,Estudiantes de La Plata,1,1,DRAW
30/07/1978,Campeonato Metropolitano,San Lorenzo,Independiente,3,2,LOSS
30/08/1978,Campeonato Metropolitano,Atlanta,Independiente,1,1,DRAW
30/12/1978,Campeonato Nacional,Independiente,Talleres de Córdoba,2,1,WIN
31/03/1978,Campeonato Metropolitano,Estudiantes,Independiente,0,4,WIN
