date,competition,home_team,away_team,home_score,away_score,result
01/09/1974,Campeonato Nacional,Vélez Sarsfield,Independiente,2,1,LOSS
01/12/1974,Campeonato Nacional,Independiente,Boca Juniors,2,1,WIN
02/05/1974,Campeonato Metropolitano,Independiente,Estudiantes de La Plata,0,3,LOSS
03/02/1974,Campeonato Metropolitano,Independiente,Argentinos Juniors,6,1,WIN
03/03/1974,Campeonato Metropolitano,Estudiantes de La Plata,Independiente,3,4,WIN
03/11/1974,Campeonato Nacional,Chaco For Ever,Independiente,1,1,DRAW
04/08/1974,Campeonato Nacional,Independiente,Racing Club,2,0,WIN
04/12/1974,Campeonato Nacional,Independiente,Talleres de Córdoba,3,1,WIN
05/05/1974,Campeonato Metropolitano,Newell’s Old Boys,Independiente,2,0,LOSS
06/10/1974,Campeonato Nacional,Racing Club,Independiente,1,1,DRAW
08/12/1974,Campeonato Nacional,Independiente,San Lorenzo,2,0,WIN
10/02/1974,Campeonato Metropolitano,San Lorenzo,Independiente,1,2,WIN
10/03/1974,Campeonato Metropolitano,Independiente,Ricardo Bochini,5,2,WIN
10/11/1974,Campeonato Nacional,Independiente,Vélez Sarsfield,1,2,LOSS
12/05/1974,Campeonato Metropolitano,Independiente,Chacarita Juniors,6,1,WIN
12/12/1974,Campeonato Nacional,Independiente,Rosario Central,2,3,LOSS
14/04/1974,Campeonato Metropolitano,Ferro Carril Oeste,Independiente,1,0,LOSS
14/09/1974,Campeonato Nacional,San Lorenzo de Mar del Plata,Independiente,1,1,DRAW
15/12/1974,Campeonato Nacional,Vélez Sarsfield,Independiente,1,0,LOSS
17/02/1974,Campeonato Metropolitano,Independiente,Ferro Carril Oeste,1,1,DRAW
18/08/1974,Campeonato Nacional,Huracán de Comodoro Rivadavia,Independiente,1,5,WIN
18/11/1974,Campeonato Nacional,Atlanta,Independiente,0,1,WIN
18/12/1974,Campeonato Nacional,Ferro Carril Oeste,Independiente,2,0,LOSS
19/05/1974,Campeonato Metropolitano,Racing Club,Independiente,1,5,WIN
21/04/1974,Campeonato Metropolitano,Independiente,Colón,0,0,DRAW
21/07/1974,Campeonato Nacional,Independiente,Atlético Tucumán,4,0,WIN
21/12/1974,Campeonato Nacional,Newell’s Old Boys,Independiente,1,0,LOSS
22/09/1974,Campeonato Nacional,Atlético Tucumán,Independiente,2,2,DRAW
22/11/1974,Campeonato Nacional,Independiente,San Lorenzo de Mar del Plata,7,0,WIN
23/02/1974,Campeonato Metropolitano,Colón,Independiente,2,2,DRAW
24/03/1974,Campeonato Metropolitano,Independiente,Racing Club,4,1,WIN
25/08/1974,Campeonato Nacional,Independiente,Chaco For Ever,3,0,WIN
26/02/1974,Campeonato Metropolitano,Independiente,Boca Juniors,0,1,LOSS
27/10/1974,Campeonato Nacional,Independiente,Huracán de Comodoro Rivadavia,5,1,WIN
28/07/1974,Campeonato Nacional,San Martín de Mendoza,Independiente,2,0,LOSS
29/09/1974,Campeonato Nacional,Independiente,San Martín de Mendoza,5,1,WIN
31/03/1974,Campeonato Metropolitano,Argentinos Juniors,Independiente,0,0,DRAW
