date,competition,home_team,away_team,home_score,away_score,result
02/05/1965,Primera División,Independiente,Argentinos Juniors,1,2,LOSS
03/10/1965,Primera División,Argentinos Juniors,Independiente,0,0,DRAW
04/07/1965,Primera División,Independiente,Banfield,2,1,WIN
04/12/1965,Primera División,Vélez Sarsfield,Independiente,0,1,WIN
07/11/1965,Primera División,Independiente,Gimnasia y Esgrima La Plata,2,0,WIN
08/12/1965,Primera División,Banfield,Independiente,0,0,DRAW
09/05/1965,Primera División,Ferro Carril Oeste,Independiente,0,0,DRAW
10/10/1965,Primera División,Independiente,Ferro Carril Oeste,1,2,LOSS
10/11/1965,Primera División,Chacarita Juniors,Independiente,2,0,LOSS
11/07/1965,Primera División,Rosario Central,Independiente,1,1,DRAW
12/12/1965,Primera División,Independiente,Rosario Central,4,2,WIN
13/06/1965,Primera División,River Plate,Independiente,1,1,DRAW
14/11/1965,Primera División,Independiente,River Plate,0,2,LOSS
16/05/1965,Primera División,Lanús,Independiente,1,1,DRAW
17/06/1965,Primera División,Independiente,San Lorenzo,0,0,DRAW
17/10/1965,Primera División,Racing Club,Independiente,2,0,LOSS
17/11/1965,Primera División,Independiente,Platense,0,0,DRAW
18/04/1965,Primera División,Platense,Independiente,1,0,LOSS
19/09/1965,Primera División,Boca Juniors,Independiente,1,0,LOSS
20/06/1965,Primera División,Atlanta,Independiente,0,0,DRAW
20/10/1965,Primera División,Independiente,Estudiantes de La Plata,0,0,DRAW
21/11/1965,Primera División,San Lorenzo,Independiente,2,0,LOSS
22/05/1965,Primera División,Independiente,Newell’s Old Boys,2,0,WIN
24/10/1965,Primera División,Independiente,Lanús,3,0,WIN
25/04/1965,Primera División,Independiente,Boca Juniors,1,1,DRAW
26/09/1965,Primera División,Independiente,Huracán,1,2,LOSS
27/06/1965,Primera División,Independiente,Vélez Sarsfield,0,1,LOSS
27/10/1965,Primera División,Newell’s Old Boys,Independiente,1,0,LOSS
28/11/1965,Primera División,Independiente,Atlanta,2,1,WIN
29/05/1965,Primera División,Independiente,Chacarita Juniors,0,0,DRAW
