date,competition,home_team,away_team,home_score,away_score,result
01/10/1961,Primera División,Independiente,Boca Juniors,0,2,LOSS
01/11/1961,Primera División,San Lorenzo,Independiente,0,1,WIN
03/09/1961,Primera División,Independiente,Rosario Central,3,2,WIN
03/12/1961,Primera División,Chacarita Juniors,Independiente,1,1,DRAW
05/11/1961,Primera División,Independiente,Huracán,4,3,WIN
06/08/1961,Primera División,Independiente,Gimnasia y Esgrima La Plata,2,0,WIN
07/05/1961,Primera División,Independiente,River Plate,1,1,DRAW
08/07/1961,Primera División,Independiente,Vélez Sarsfield,0,1,LOSS
10/09/1961,Primera División,Lanús,Independiente,0,0,DRAW
12/11/1961,Primera División,Gimnasia y Esgrima La Plata,Independiente,4,3,LOSS
14/05/1961,Primera División,Boca Juniors,Independiente,2,0,LOSS
15/10/1961,Primera División,Independiente,Argentinos Juniors,5,2,WIN
16/04/1961,Primera División,Los Andes,Independiente,0,3,WIN
16/07/1961,Primera División,Ferro Carril Oeste,Independiente,2,1,LOSS
20/08/1961,Primera División,Independiente,Racing Club,4,0,WIN
21/05/1961,Primera División,Independiente,Atlanta,0,0,DRAW
22/10/1961,Primera División,Vélez Sarsfield,Independiente,3,1,LOSS
22/11/1961,Primera División,Independiente,Estudiantes de La Plata,1,0,WIN
23/04/1961,Primera División,Independiente,Lanús,3,3,DRAW
23/07/1961,Primera División,Independiente,San Lorenzo,0,0,DRAW
24/09/1961,Primera División,River Plate,Independiente,3,0,LOSS
26/11/1961,Primera División,Racing Club,Independiente,1,1,DRAW
27/08/1961,Primera División,Independiente,Chacarita Juniors,1,0,WIN
28/05/1961,Primera División,Argentinos Juniors,Independiente,0,1,WIN
29/10/1961,Primera División,Independiente,Ferro Carril Oeste,0,1,LOSS
30/04/1961,Primera División,Rosario Central,Independiente,1,1,DRAW
30/07/1961,Primera División,Huracán,Independiente,0,2,WIN
