date,competition,home_team,away_team,home_score,away_score,result
01/10/1933,Primera División,Gimnasia y Esgrima La Plata,Independiente,2,1,LOSS
02/04/1933,Primera División,Quilmes,Independiente,0,1,WIN
02/07/1933,Primera División,Independiente,Lanús,3,2,WIN
03/09/1933,Primera División,Tigre,Independiente,1,3,WIN
03/12/1933,Copa de Honor,Independiente,Huracán,5,2,WIN
04/02/1934,Copa de Honor,Racing Club,Independiente,4,1,LOSS
04/06/1933,Primera División,Talleres,Independiente,3,0,LOSS
05/11/1933,Primera División,Chacarita Juniors,Independiente,2,1,LOSS
06/08/1933,Primera División,Independiente,Quilmes,2,0,WIN
07/01/1934,Copa de Honor,Nacional,Independiente,0,1,WIN
07/05/1933,Primera División,Argentinos Juniors,Independiente,1,0,LOSS
08/10/1933,Primera División,Independiente,Ferro Carril Oeste,0,2,LOSS
09/04/1933,Primera División,Independiente,Platense,6,3,WIN
10/09/1933,Primera División,Independiente,Argentinos Juniors,3,1,WIN
10/12/1933,Copa de Honor,River Plate,Independiente,0,2,WIN
11/06/1933,Primera División,Independiente,Boca Juniors,1,1,DRAW
12/03/1933,Primera División,Independiente,River Plate,1,0,WIN
12/11/1933,Primera División,Independiente,San Lorenzo,1,0,WIN
13/04/1933,Copa Competencia,Independiente,Estudiantes de La Plata,0,2,LOSS
13/08/1933,Primera División,Platense,Independiente,2,1,LOSS
14/01/1934,Copa de Honor,Defensor,Independiente,0,0,DRAW
14/05/1933,Primera División,Independiente,Gimnasia y Esgrima La Plata,2,1,WIN
15/06/1933,Copa Competencia,Independiente,River Plate,3,1,WIN
15/08/1933,Copa Competencia,Independiente,Ferro Carril Oeste,1,4,LOSS
15/10/1933,Primera División,Atlanta,Independiente,0,2,WIN
16/04/1933,Primera División,Estudiantes de La Plata,Independiente,0,0,DRAW
16/07/1933,Primera División,River Plate,Independiente,1,1,DRAW
17/12/1933,Copa de Honor,Independiente,Chacarita Juniors,2,1,WIN
18/06/1933,Primera División,Independiente,Chacarita Juniors,2,1,WIN
19/03/1933,Primera División,Racing Club,Independiente,2,1,LOSS
19/11/1933,Primera División,Lanús,Independiente,0,0,DRAW
20/08/1933,Primera División,Independiente,Estudiantes de La Plata,0,0,DRAW
21/01/1934,Copa de Honor,Defensor,Independiente,0,1,WIN
21/05/1933,Primera División,Ferro Carril Oeste,Independiente,1,2,WIN
23/04/1933,Primera División,Vélez Sarsfield,Independiente,2,0,LOSS
23/07/1933,Primera División,Independiente,Racing Club,2,1,WIN
24/12/1933,Copa de Honor,Quilmes,Independiente,0,1,WIN
25/06/1933,Primera División,San Lorenzo,Independiente,2,0,LOSS
26/03/1933,Primera División,Independiente,Huracán,3,1,WIN
27/08/1933,Primera División,Independiente,Vélez Sarsfield,1,0,WIN
28/01/1934,Copa de Honor,Racing Club,Independiente,3,3,DRAW
28/05/1933,Primera División,Independiente,Atlanta,4,0,WIN
29/06/1933,Copa Competencia,Quilmes,Independiente,1,2,WIN
29/10/1933,Primera División,Boca Juniors,Independiente,2,0,LOSS
30/04/1933,Primera División,Independiente,Tigre,7,0,WIN
30/07/1933,Primera División,Huracán,Independiente,3,0,LOSS
