date,competition,home_team,away_team,home_score,away_score,result
01/08/1967,Campeonato Metropolitano,Ferro Carril Oeste,Independiente,2,2,DRAW
01/10/1967,Campeonato Nacional,Independiente,Héctor Yazalde,5,3,WIN
03/12/1967,Campeonato Nacional,Independiente,Boca Juniors,3,2,WIN
04/06/1967,Campeonato Metropolitano,Independiente,Platense,1,2,LOSS
04/08/1967,Campeonato Metropolitano,Racing Club,Independiente,2,0,LOSS
05/03/1967,Campeonato Metropolitano,Rosario Central,Independiente,0,2,WIN
05/11/1967,Campeonato Nacional,Independiente,Estudiantes de La Plata,0,0,DRAW
07/05/1967,Campeonato Metropolitano,Racing Club,Independiente,0,1,WIN
08/07/1967,Campeonato Metropolitano,Chacarita Juniors,Independiente,0,0,DRAW
08/10/1967,Campeonato Nacional,Independiente,Quilmes,4,2,WIN
08/12/1967,Campeonato Nacional,River Plate,Independiente,0,2,WIN
10/03/1967,Campeonato Metropolitano,Independiente,Dep. Español,0,0,DRAW
10/09/1967,Campeonato Nacional,San Martín de Mendoza,Independiente,2,3,WIN
11/06/1967,Campeonato Metropolitano,Unión,Independiente,1,1,DRAW
12/11/1967,Campeonato Nacional,Rosario Central,Independiente,1,1,DRAW
14/05/1967,Campeonato Metropolitano,Independiente,Ferro Carril Oeste,0,1,LOSS
15/10/1967,Campeonato Nacional,Ferro Carril Oeste,Independiente,1,2,WIN
16/07/1967,Campeonato Metropolitano,Independiente,River Plate,1,0,WIN
17/09/1967,Campeonato Nacional,Independiente,Central Córdoba de Santiago del Estero,6,0,WIN
17/12/1967,Campeonato Nacional,Independiente,Luis Artime,4,2,WIN
19/03/1967,Campeonato Metropolitano,Platense,Independiente,0,2,WIN
19/11/1967,Campeonato Nacional,Independiente,Vélez Sarsfield,1,0,WIN
22/10/1967,Campeonato Nacional,Independiente,Chaco For Ever,6,0,WIN
23/04/1967,Campeonato Metropolitano,Independiente,Chacarita Juniors,5,0,WIN
23/07/1967,Campeonato Metropolitano,Independiente,Racing Club,0,3,LOSS
24/09/1967,Campeonato Nacional,Platense,Independiente,1,2,WIN
25/06/1967,Campeonato Metropolitano,San Lorenzo,Independiente,0,0,DRAW
28/05/1967,Campeonato Metropolitano,Dep. Español,Independiente,0,3,WIN
29/10/1967,Campeonato Nacional,San Lorenzo de Mar del Plata,Independiente,0,3,WIN
30/04/1967,Campeonato Metropolitano,River Plate,Independiente,2,1,LOSS
