date,competition,home_team,away_team,home_score,away_score,result
02/09/1923,Primera División,Tigre,Independiente,0,5,WIN
05/08/1923,Primera División,Racing Club,Independiente,0,1,WIN
07/10/1923,Primera División,Independiente,Vélez Sarsfield,5,1,WIN
11/11/1923,Primera División,Independiente,River Plate,0,0,DRAW
14/10/1923,Primera División,Quilmes,Independiente,2,3,WIN
16/09/1923,Primera División,Argentinos del Sud,Independiente,0,2,WIN
16/12/1923,Primera División,Ferro Carril Oeste,Independiente,1,3,WIN
18/11/1923,Primera División,Independiente,Sp. Almagro,1,1,DRAW
19/08/1923,Primera División,Independiente,Gimnasia y Esgrima La Plata,1,0,WIN
20/01/1924,Primera División,Independiente,Lanús,2,0,WIN
22/07/1923,Primera División,Estudiantes,Independiente,0,2,WIN
23/09/1923,Primera División,Independiente,San Isidro,1,1,DRAW
23/12/1923,Primera División,Independiente,Platense,5,1,WIN
28/10/1923,Primera División,San Lorenzo,Independiente,1,0,LOSS
29/07/1923,Primera División,Independiente,Banfield,2,0,WIN
30/09/1923,Primera División,Estudiantil Porteño,Independiente,0,2,WIN
30/12/1923,Primera División,Sp. Buenos Aires,Independiente,0,3,WIN
