date,competition,home_team,away_team,home_score,away_score,result
"Sáb., 15 de Nov.",Liga Profesional de Fútbol,Independiente,Rosario Central,1,0,WIN
"Lun., 10 de Nov.",Liga Profesional de Fútbol,Deportivo Riestra,Independiente,0,1,WIN
"Sáb., 1 de Nov.",Liga Profesional de Fútbol,Independiente,Atlético Tucumán,3,0,WIN
"Vie., 24 de Oct.",Liga Profesional de Fútbol,Independiente,Platense,3,0,WIN
"Dom., 19 de Oct.",Liga Profesional de Fútbol,San Martín (San Juan),Independiente,1,0,LOSS
"Dom., 12 de Oct.",Liga Profesional de Fútbol,Independiente,Lanús,0,2,LOSS
"Dom., 5 de Oct.",Liga Profesional de Fútbol,Godoy Cruz Antonio Tomba,Independiente,1,1,DRAW
"Dom., 28 de Sep.",Liga Profesional de Fútbol,Racing Club,Independiente,0,0,DRAW
"Dom., 21 de Sep.",Liga Profesional de Fútbol,Independiente,San Lorenzo,1,1,DRAW
"Sáb., 13 de Sep.",Liga Profesional de Fútbol,Independiente,Banfield,0,1,LOSS
"Vie., 29 de Ago.",Liga Profesional de Fútbol,Instituto (Córdoba),Independiente,0,0,DRAW
"Sáb., 16 de Ago.",Liga Profesional de Fútbol,Vélez Sarsfield,Independiente,2,1,LOSS
"Mié., 13 de Ago.",CONMEBOL Sudamericana,Universidad de Chile,Independiente,1,0,LOSS
"Sáb., 9 de Ago.",Liga Profesional de Fútbol,Independiente,River Plate,0,0,DRAW
"Vie., 1 de Ago.",Copa Argentina,Belgrano (Córdoba),Independiente,2,0,LOSS
"Dom., 27 de Jul.",Liga Profesional de Fútbol,Gimnasia La Plata,Independiente,1,0,LOSS
"Dom., 20 de Jul.",Liga Profesional de Fútbol,Independiente,Talleres (Córdoba),1,2,LOSS
"Dom., 13 de Jul.",Liga Profesional de Fútbol,Sarmiento (Junín),Independiente,2,2,DRAW
"Dom., 29 de Jun.",Copa Argentina,Gimnasia (Mendoza),Independiente,1,2,WIN
"Mié., 28 de May.",CONMEBOL Sudamericana,Independiente,Nacional Potosí,7,0,WIN
"Lun., 19 de May.",Liga Profesional de Fútbol,Boca Juniors,Independiente,0,1,WIN
"Jue., 15 de May.",CONMEBOL Sudamericana,Independiente,Guarani,1,0,WIN
"Dom., 11 de May.",Liga Profesional de Fútbol,Independiente,Independiente Rivadavia,1,0,WIN
"Mar., 6 de May.",CONMEBOL Sudamericana,Boston River,Independiente,1,5,WIN
"Sáb., 3 de May.",Liga Profesional de Fútbol,Rosario Central,Independiente,1,0,LOSS
"Mié., 30 de Abr.",Liga Profesional de Fútbol,Atlético Tucumán,Independiente,2,0,LOSS
"Dom., 27 de Abr.",Liga Profesional de Fútbol,Independiente,Deportivo Riestra,0,0,DRAW
"Mar., 22 de Abr.",CONMEBOL Sudamericana,Guarani,Independiente,2,1,LOSS
"Dom., 13 de Abr.",Liga Profesional de Fútbol,Independiente,San Martín (San Juan),2,0,WIN
"Mar., 8 de Abr.",CONMEBOL Sudamericana,Independiente,Boston River,2,1,WIN
"Dom., 6 de Abr.",Liga Profesional de Fútbol,Lanús,Independiente,1,1,DRAW
"Mar., 1 de Abr.",CONMEBOL Sudamericana,Nacional Potosí,Independiente,2,0,LOSS
"Sáb., 29 de Mar.",Liga Profesional de Fútbol,Independiente,Godoy Cruz Antonio Tomba,4,0,WIN
"Dom., 16 de Mar.",Liga Profesional de Fútbol,Independiente,Racing Club,1,1,DRAW
"Sáb., 8 de Mar.",Liga Profesional de Fútbol,San Lorenzo,Independiente,1,2,WIN
"Mar., 4 de Mar.",Liga Profesional de Fútbol,Banfield,Independiente,0,0,DRAW
"Mié., 26 de Feb.",Copa Argentina,Independiente,Sp. Belgrano,2,0,WIN
"Sáb., 22 de Feb.",Liga Profesional de Fútbol,Independiente,Instituto (Córdoba),2,0,WIN
"Lun., 17 de Feb.",Liga Profesional de Fútbol,Platense,Independiente,1,1,DRAW
"Mié., 12 de Feb.",Liga Profesional de Fútbol,Independiente,Vélez Sarsfield,3,0,WIN
"Sáb., 8 de Feb.",Liga Profesional de Fútbol,River Plate,Independiente,2,0,LOSS
"Dom., 2 de Feb.",Liga Profesional de Fútbol,Independiente,Gimnasia La Plata,2,0,WIN
"Mié., 29 de Ene.",Liga Profesional de Fútbol,Talleres (Córdoba),Independiente,2,3,WIN
"Vie., 24 de Ene.",Liga Profesional de Fútbol,Independiente,Sarmiento (Junín),2,1,WIN
