date,competition,home_team,away_team,home_score,away_score,result
"Dom., 26 de Nov.",Argentine Copa de la Liga Profesional,Talleres (Córdoba),Independiente,3,2,LOSS
"Dom., 12 de Nov.",Argentine Copa de la Liga Profesional,Independiente,Banfield,0,0,DRAW
"Sáb., 4 de Nov.",Argentine Copa de la Liga Profesional,Atlético Tucumán,Independiente,1,2,WIN
"Dom., 29 de Oct.",Argentine Copa de la Liga Profesional,Independiente,Arsenal Sarandi,0,0,DRAW
"Mié., 25 de Oct.",Argentine Copa de la Liga Profesional,River Plate,Independiente,3,0,LOSS
"Mié., 18 de Oct.",Argentine Copa de la Liga Profesional,Independiente,Barracas Central,3,0,WIN
"Sáb., 7 de Oct.",Argentine Copa de la Liga Profesional,Argentinos Juniors,Independiente,0,0,DRAW
"Sáb., 30 de Sep.",Argentine Copa de la Liga Profesional,Racing Club,Independiente,0,2,WIN
"Dom., 24 de Sep.",Argentine Copa de la Liga Profesional,Independiente,Instituto (Córdoba),0,0,DRAW
"Mar., 19 de Sep.",Argentine Copa de la Liga Profesional,Rosario Central,Independiente,1,1,DRAW
"Jue., 14 de Sep.",Argentine Copa de la Liga Profesional,Independiente,Huracán,1,0,WIN
"Sáb., 2 de Sep.",Argentine Copa de la Liga Profesional,Gimnasia La Plata,Independiente,1,2,WIN
"Dom., 27 de Ago.",Argentine Copa de la Liga Profesional,Independiente,Vélez Sarsfield,2,1,WIN
"Sáb., 19 de Ago.",Argentine Copa de la Liga Profesional,Independiente,Colón (Santa Fe),0,1,LOSS
"Sáb., 29 de Jul.",Liga Profesional de Fútbol,Independiente,Boca Juniors,0,2,LOSS
"Dom., 23 de Jul.",Liga Profesional de Fútbol,Atlético Tucumán,Independiente,1,0,LOSS
"Dom., 16 de Jul.",Liga Profesional de Fútbol,Central Córdoba (Santiago del Estero),Independiente,0,1,WIN
"Mar., 11 de Jul.",Liga Profesional de Fútbol,Independiente,Newell's Old Boys,0,2,LOSS
"Vie., 7 de Jul.",Liga Profesional de Fútbol,Gimnasia La Plata,Independiente,1,1,DRAW
"Dom., 2 de Jul.",Liga Profesional de Fútbol,Independiente,Huracán,1,0,WIN
"Sáb., 24 de Jun.",Liga Profesional de Fútbol,Unión (Santa Fe),Independiente,3,0,LOSS
"Vie., 9 de Jun.",Liga Profesional de Fútbol,Independiente,Sarmiento (Junín),2,0,WIN
"Dom., 4 de Jun.",Liga Profesional de Fútbol,Godoy Cruz Antonio Tomba,Independiente,2,1,LOSS
"Sáb., 27 de May.",Liga Profesional de Fútbol,Independiente,Lanús,1,1,DRAW
"Jue., 18 de May.",Liga Profesional de Fútbol,Arsenal Sarandi,Independiente,2,1,LOSS
"Sáb., 13 de May.",Liga Profesional de Fútbol,Independiente,Tigre,2,1,WIN
"Sáb., 6 de May.",Liga Profesional de Fútbol,Argentinos Juniors,Independiente,2,2,DRAW
"Dom., 30 de Abr.",Liga Profesional de Fútbol,Independiente,Belgrano (Córdoba),2,0,WIN
"Dom., 23 de Abr.",Liga Profesional de Fútbol,River Plate,Independiente,2,0,LOSS
"Dom., 16 de Abr.",Liga Profesional de Fútbol,Independiente,Racing Club,1,1,DRAW
"Mié., 12 de Abr.",Liga Profesional de Fútbol,Rosario Central,Independiente,1,0,LOSS
"Dom., 9 de Abr.",Liga Profesional de Fútbol,Independiente,Estudiantes de La Plata,1,2,LOSS
"Sáb., 1 de Abr.",Liga Profesional de Fútbol,San Lorenzo,Independiente,0,0,DRAW
"Dom., 26 de Mar.",Copa Argentina,Independiente,Ciudad de Bolívar,3,0,WIN
"Sáb., 18 de Mar.",Liga Profesional de Fútbol,Independiente,Colón (Santa Fe),2,2,DRAW
"Vie., 10 de Mar.",Liga Profesional de Fútbol,Barracas Central,Independiente,1,1,DRAW
"Dom., 5 de Mar.",Liga Profesional de Fútbol,Independiente,Instituto (Córdoba),2,2,DRAW
"Dom., 26 de Feb.",Liga Profesional de Fútbol,Banfield,Independiente,0,0,DRAW
"Dom., 19 de Feb.",Liga Profesional de Fútbol,Independiente,Defensa y Justicia,0,2,LOSS
"Sáb., 11 de Feb.",Liga Profesional de Fútbol,Vélez Sarsfield,Independiente,0,0,DRAW
"Dom., 5 de Feb.",Liga Profesional de Fútbol,Independiente,Platense,1,2,LOSS
"Sáb., 28 de Ene.",Liga Profesional de Fútbol,Talleres (Córdoba),Independiente,0,1,WIN
"Sáb., 7 de Ene.",Amistoso,Boca Juniors,Independiente,0,0,DRAW
