date,competition,home_team,away_team,home_score,away_score,result
01/03/1925,Copa Competencia,Independiente,Sp. Almagro,1,0,WIN
01/06/1924,Primera División,Independiente,Atlanta,4,0,WIN
04/05/1924,Primera División,Independiente,Argentinos del Sud,1,1,DRAW
06/01/1925,Copa Competencia,Independiente,Lanús,2,2,DRAW
06/04/1924,Primera División,Independiente,Barracas Central,1,0,WIN
06/07/1924,Primera División,Independiente,Lanús,3,0,WIN
07/09/1924,Primera División,Estudiantes de La Plata,Independiente,1,2,WIN
07/12/1924,Copa Competencia,Liberal Argentino,Independiente,1,4,WIN
08/06/1924,Primera División,Gimnasia y Esgrima La Plata,Independiente,2,0,LOSS
09/11/1924,Primera División,Defensores de Belgrano,Independiente,1,1,DRAW
11/01/1925,Copa Competencia,Racing Club,Independiente,0,0,DRAW
11/05/1924,Primera División,Liberal Argentino,Independiente,0,3,WIN
13/04/1924,Primera División,Banfield,Independiente,1,0,LOSS
13/07/1924,Primera División,Tigre,Independiente,0,2,WIN
14/09/1924,Primera División,Estudiantil Porteño,Independiente,0,3,WIN
14/12/1924,Copa Competencia,Gimnasia y Esgrima La Plata,Independiente,0,0,DRAW
15/02/1925,Copa Competencia,Independiente,Sp. Almagro,1,1,DRAW
17/04/1924,Copa Competencia,Independiente,Estudiantes de La Plata,1,0,WIN
18/01/1925,Copa Competencia,Independiente,Racing Club,0,0,DRAW
19/06/1924,Copa Competencia,Independiente,Liberal Argentino,3,1,WIN
19/10/1924,Primera División,San Lorenzo,Independiente,0,0,DRAW
20/04/1924,Primera División,Independiente,Racing Club,0,1,LOSS
20/07/1924,Primera División,Independiente,Quilmes,4,1,WIN
21/12/1924,Copa Competencia,Independiente,Vélez Sarsfield,2,0,WIN
22/02/1925,Copa Competencia,Sp. Almagro,Independiente,0,0,DRAW
22/06/1924,Primera División,Gimnasia y Esgrima La Plata,Independiente,0,0,DRAW
23/11/1924,Copa Competencia,Vélez Sarsfield,Independiente,0,3,WIN
24/08/1924,Primera División,Independiente,Estudiantes,7,0,WIN
25/01/1925,Copa Competencia,Racing Club,Independiente,0,0,DRAW
25/05/1924,Primera División,Platense,Independiente,1,1,DRAW
26/10/1924,Primera División,Independiente,Vélez Sarsfield,2,0,WIN
27/04/1924,Primera División,Sp. Palermo,Independiente,0,2,WIN
27/07/1924,Primera División,Ferro Carril Oeste,Independiente,0,2,WIN
28/12/1924,Copa Competencia,Independiente,Gimnasia y Esgrima La Plata,1,2,LOSS
29/05/1924,Copa Competencia,Lanús,Independiente,0,1,WIN
29/06/1924,Primera División,Sp. Almagro,Independiente,0,2,WIN
