date,competition,home_team,away_team,home_score,away_score,result
02/05/1954,Primera División,Racing Club,Independiente,1,4,WIN
03/10/1954,Primera División,Tigre,Independiente,2,1,LOSS
04/04/1954,Primera División,Independiente,Chacarita Juniors,1,0,WIN
04/07/1954,Primera División,Independiente,Vélez Sarsfield,2,1,WIN
05/09/1954,Primera División,Lanús,Independiente,0,3,WIN
06/06/1954,Primera División,Independiente,Tigre,1,1,DRAW
08/08/1954,Primera División,Chacarita Juniors,Independiente,1,0,LOSS
09/05/1954,Primera División,Independiente,Lanús,0,0,DRAW
10/10/1954,Primera División,Independiente,Gimnasia y Esgrima La Plata,2,2,DRAW
11/04/1954,Primera División,Boca Juniors,Independiente,0,3,WIN
11/11/1954,Primera División,San Lorenzo,Independiente,1,5,WIN
12/09/1954,Primera División,Independiente,Ferro Carril Oeste,3,0,WIN
13/06/1954,Primera División,Gimnasia y Esgrima La Plata,Independiente,2,1,LOSS
14/11/1954,Primera División,Independiente,Platense,1,1,DRAW
15/08/1954,Primera División,Independiente,Boca Juniors,3,1,WIN
16/05/1954,Primera División,Ferro Carril Oeste,Independiente,2,1,LOSS
16/10/1954,Primera División,Newell’s Old Boys,Independiente,0,3,WIN
18/04/1954,Primera División,Independiente,Rosario Central,1,1,DRAW
18/07/1954,Primera División,Banfield,Independiente,1,1,DRAW
19/09/1954,Primera División,Huracán,Independiente,3,3,DRAW
20/06/1954,Primera División,Independiente,Newell’s Old Boys,1,1,DRAW
22/08/1954,Primera División,Rosario Central,Independiente,0,0,DRAW
23/05/1954,Primera División,Independiente,Huracán,2,2,DRAW
24/10/1954,Primera División,Vélez Sarsfield,Independiente,2,3,WIN
25/07/1954,Primera División,Independiente,San Lorenzo,3,0,WIN
26/09/1954,Primera División,Independiente,River Plate,0,0,DRAW
30/05/1954,Primera División,River Plate,Independiente,2,3,WIN
31/10/1954,Primera División,Independiente,Banfield,2,0,WIN
