date,competition,home_team,away_team,home_score,away_score,result
02/12/1917,Primera División,Columbian,Independiente,1,0,LOSS
04/11/1917,Primera División,Independiente,Boca Juniors,3,1,WIN
05/08/1917,Primera División,Independiente,River Plate,0,3,LOSS
06/01/1918,Copa Competencia,Independiente,Rosario Central,6,2,WIN
06/05/1917,Copa Competencia,Racing Club,Independiente,0,0,DRAW
08/04/1917,Primera División,Gimnasia y Esgrima La Plata,Independiente,0,2,WIN
09/09/1917,Primera División,Estudiantes de La Plata,Independiente,0,2,WIN
09/12/1917,Primera División,Estudiantes,Independiente,1,1,DRAW
10/06/1917,Primera División,Independiente,Platense,1,1,DRAW
11/11/1917,Primera División,Independiente,Argentino de Quilmes,7,1,WIN
13/01/1918,Copa Competencia,Independiente,Estudiantes de La Plata,2,1,WIN
13/05/1917,Copa Competencia,Racing Club,Independiente,0,1,WIN
15/04/1917,Primera División,Independiente,Estudiantil Porteño,1,1,DRAW
16/09/1917,Primera División,Independiente,Ferro Carril Oeste,1,1,DRAW
16/12/1917,Primera División,Atlanta,Independiente,3,0,LOSS
17/06/1917,Copa de Honor,Independiente,Estudiantes,3,0,WIN
18/11/1917,Primera División,Independiente,San Isidro,0,3,LOSS
19/08/1917,Primera División,Tigre,Independiente,3,2,LOSS
20/05/1917,Primera División,Huracán,Independiente,1,1,DRAW
21/04/1918,Copa Competencia,Independiente,Montevideo Wanderers,0,4,LOSS
22/04/1917,Copa Competencia,Racing Club,Independiente,1,1,DRAW
22/07/1917,Copa de Honor,Independiente,Racing Club,1,3,LOSS
23/12/1917,Primera División,Independiente,Gimnasia y Esgrima,3,1,WIN
24/06/1917,Primera División,Porteño,Independiente,1,0,LOSS
25/11/1917,Primera División,San Lorenzo,Independiente,2,1,LOSS
26/08/1917,Primera División,Independiente,Banfield,0,0,DRAW
27/05/1917,Primera División,Sp. Barracas,Independiente,0,3,WIN
28/10/1917,Copa Competencia,Independiente,San Lorenzo,2,0,WIN
29/07/1917,Copa Competencia,Columbian,Independiente,1,2,WIN
30/12/1917,Primera División,Independiente,Racing Club,1,0,WIN
