date,competition,home_team,away_team,home_score,away_score,result
01/09/1929,Primera División,Independiente,Defensores de Belgrano,1,1,DRAW
01/12/1929,Primera División,Argentino de Quilmes,Independiente,3,1,LOSS
05/01/1930,Primera División,San Lorenzo,Independiente,3,0,LOSS
08/09/1929,Primera División,Ferro Carril Oeste,Independiente,1,1,DRAW
12/01/1929,Primera División,Estudiantil Porteño,Independiente,0,0,DRAW
13/10/1929,Primera División,Independiente,Argentinos Juniors,3,1,WIN
15/09/1929,Primera División,Independiente,Sp. Buenos Aires,3,0,WIN
15/12/1929,Primera División,Independiente,Barracas Central,6,0,WIN
20/10/1929,Primera División,Independiente,Chacarita Juniors,3,3,DRAW
21/07/1929,Primera División,Independiente,Sp. Palermo,0,0,DRAW
22/09/1929,Primera División,Independiente,Excursionistas,10,2,WIN
22/12/1929,Primera División,Boca Juniors,Independiente,2,1,LOSS
24/11/1929,Primera División,Quilmes,Independiente,0,2,WIN
27/10/1929,Primera División,Independiente,Argentino de Banfield,4,2,WIN
29/12/1929,Primera División,Sp. Barracas,Independiente,0,0,DRAW
