date,competition,home_team,away_team,home_score,away_score,result
02/10/1955,Primera División,Independiente,Vélez Sarsfield,4,0,WIN
03/07/1955,Primera División,Independiente,Gimnasia y Esgrima La Plata,0,2,LOSS
04/09/1955,Primera División,Independiente,Rosario Central,2,0,WIN
04/12/1955,Primera División,Lanús,Independiente,3,1,LOSS
05/06/1955,Primera División,Racing Club,Independiente,1,1,DRAW
06/11/1955,Primera División,Gimnasia y Esgrima La Plata,Independiente,0,1,WIN
07/08/1955,Primera División,Ferro Carril Oeste,Independiente,1,2,WIN
08/05/1955,Primera División,Rosario Central,Independiente,3,4,WIN
08/12/1955,Primera División,Chacarita Juniors,Independiente,3,1,LOSS
09/10/1955,Primera División,Boca Juniors,Independiente,2,1,LOSS
11/09/1955,Primera División,San Lorenzo,Independiente,1,3,WIN
12/06/1955,Primera División,Independiente,Tigre,3,0,WIN
13/11/1955,Primera División,Independiente,Newell’s Old Boys,6,1,WIN
14/08/1955,Primera División,Independiente,Lanús,0,0,DRAW
15/05/1955,Primera División,Independiente,San Lorenzo,3,2,WIN
16/10/1955,Primera División,Independiente,Racing,0,1,LOSS
17/07/1955,Primera División,Newell’s Old Boys,Independiente,1,0,LOSS
17/08/1955,Primera División,Independiente,Chacarita Juniors,0,0,DRAW
20/11/1955,Primera División,Huracán,Independiente,0,3,WIN
21/08/1955,Primera División,Platense,Independiente,2,2,DRAW
22/05/1955,Primera División,Vélez Sarsfield,Independiente,1,1,DRAW
23/10/1955,Primera División,Tigre,Independiente,2,0,LOSS
26/06/1955,Primera División,River Plate,Independiente,1,0,LOSS
27/11/1955,Primera División,Independiente,Ferro Carril Oeste,0,0,DRAW
28/08/1955,Primera División,Estudiantes de La Plata,Independiente,2,4,WIN
29/05/1955,Primera División,Independiente,Boca Juniors,1,1,DRAW
30/04/1955,Primera División,Independiente,Estudiantes de La Plata,2,1,WIN
30/10/1955,Primera División,Independiente,River Plate,0,0,DRAW
31/07/1955,Primera División,Independiente,Huracán,1,0,WIN
