date,competition,home_team,away_team,home_score,away_score,result
02/11/1919,Primera División,Sp. Barracas,Independiente,3,4,WIN
03/08/1919,Copa Competencia,Independiente,Platense,4,0,WIN
04/01/1920,Primera División,Independiente,River Plate,0,0,DRAW
05/10/1919,Primera División,Independiente,Platense,3,1,WIN
06/07/1919,Primera División,Independiente,Huracán,2,0,WIN
07/12/1919,Primera División,Independiente,Racing Club,0,1,LOSS
09/11/1919,Primera División,Independiente,Estudiantil Porteño,6,2,WIN
11/11/1919,Primera División,River Plate,Independiente,0,0,DRAW
12/10/1919,Primera División,Vélez Sarsfield,Independiente,2,1,LOSS
14/12/1919,Primera División,Independiente,Gimnasia y Esgrima La Plata,0,0,DRAW
16/03/1919,Primera División,Tigre,Independiente,1,3,WIN
17/08/1919,Copa Competencia,Independiente,Sp. Barracas,2,0,WIN
19/10/1919,Primera División,Independiente,San Isidro,3,1,WIN
20/07/1919,Copa Competencia,Independiente,Banfield,3,2,WIN
21/12/1919,Primera División,Def. de Belgrano,Independiente,2,1,LOSS
23/03/1919,Primera División,Independiente,Estudiantes de La Plata,4,1,WIN
23/11/1919,Primera División,San Lorenzo,Independiente,3,0,LOSS
24/08/1919,Primera División,Independiente,Estudiantes,3,1,WIN
27/07/1919,Primera División,Atlanta,Independiente,2,2,DRAW
28/09/1919,Primera División,Atlanta,Independiente,2,0,LOSS
28/12/1919,Primera División,Independiente,Tigre,2,0,WIN
30/03/1919,Primera División,Eureka,Independiente,1,3,WIN
30/11/1919,Primera División,Estudiantes,Independiente,3,2,LOSS
31/08/1919,Primera División,Estudiantil Porteño,Independiente,1,2,WIN
