date,competition,home_team,away_team,home_score,away_score,result
"Dom., 8 de Mar.",Liga Profesional de Fútbol,Independiente,Central Córdoba (Santiago del Estero),3,0,WIN
"Lun., 2 de Mar.",Liga Profesional de Fútbol,Huracán,Independiente,1,0,LOSS
"Sáb., 22 de Feb.",Liga Profesional de Fútbol,Independiente,Gimnasia La Plata,0,1,LOSS
"Lun., 17 de Feb.",Liga Profesional de Fútbol,Independiente,Arsenal Sarandi,1,1,DRAW
"Dom., 9 de Feb.",Liga Profesional de Fútbol,Racing Club,Independiente,1,0,LOSS
"Sáb., 1 de Feb.",Liga Profesional de Fútbol,Independiente,Rosario Central,5,0,WIN
"Dom., 26 de Ene.",Liga Profesional de Fútbol,Boca Juniors,Independiente,0,0,DRAW
"Dom., 19 de Ene.",Liga Profesional de Fútbol,Independiente,River Plate,1,2,LOSS
"Vie., 13 de Dic.",Liga Profesional de Fútbol,Independiente,Newell's Old Boys,2,3,LOSS
"Vie., 6 de Dic.",Liga Profesional de Fútbol,Independiente,Banfield,0,1,LOSS
"Dom., 1 de Dic.",Liga Profesional de Fútbol,Aldosivi,Independiente,0,0,DRAW
"Sáb., 9 de Nov.",Liga Profesional de Fútbol,Godoy Cruz Antonio Tomba,Independiente,1,2,WIN
"Dom., 3 de Nov.",Liga Profesional de Fútbol,Independiente,San Lorenzo,2,1,WIN
"Mié., 30 de Oct.",Liga Profesional de Fútbol,Unión (Santa Fe),Independiente,2,2,DRAW
"Vie., 25 de Oct.",Copa Argentina,Independiente,Lanús,0,2,LOSS
"Sáb., 19 de Oct.",Liga Profesional de Fútbol,Independiente,Argentinos Juniors,0,1,LOSS
"Dom., 6 de Oct.",Liga Profesional de Fútbol,Vélez Sarsfield,Independiente,2,0,LOSS
"Dom., 29 de Sep.",Liga Profesional de Fútbol,Independiente,Talleres (Córdoba),3,2,WIN
"Jue., 26 de Sep.",Copa Argentina,Defensa y Justicia,Independiente,0,1,WIN
"Sáb., 21 de Sep.",Liga Profesional de Fútbol,Atlético Tucumán,Independiente,0,1,WIN
"Dom., 15 de Sep.",Liga Profesional de Fútbol,Independiente,Lanús,2,2,DRAW
"Sáb., 31 de Ago.",Liga Profesional de Fútbol,Patronato,Independiente,1,0,LOSS
"Mié., 28 de Ago.",Copa Argentina,Patronato,Independiente,0,1,WIN
"Sáb., 24 de Ago.",Liga Profesional de Fútbol,Independiente,Colón (Santa Fe),2,0,WIN
"Lun., 19 de Ago.",Liga Profesional de Fútbol,Estudiantes de La Plata,Independiente,3,0,LOSS
"Mar., 6 de Ago.",CONMEBOL Sudamericana,Independiente,Independiente del Valle,2,1,WIN
"Dom., 28 de Jul.",Liga Profesional de Fútbol,Defensa y Justicia,Independiente,0,1,WIN
"Jue., 25 de Jul.",CONMEBOL Sudamericana,Independiente,Universidad Católica (Quito),1,0,WIN
"Mar., 21 de May.",CONMEBOL Sudamericana,Águilas Doradas,Independiente,3,2,LOSS
"Dom., 14 de Abr.",Copa Superliga de Argentina,Argentinos Juniors,Independiente,3,2,LOSS
"Mié., 3 de Abr.",CONMEBOL Sudamericana,Independiente,Deportivo Binacional,4,1,WIN
"Mié., 6 de Mar.",Copa Argentina,Independiente,Atlas,4,0,WIN
