date,competition,home_team,away_team,home_score,away_score,result
01/06/1935,Primera División,Talleres,Independiente,5,7,WIN
01/09/1935,Primera División,Racing Club,Independiente,1,3,WIN
01/12/1935,Primera División,Independiente,Chacarita Juniors,5,1,WIN
02/06/1935,Primera División,Independiente,Platense,1,1,DRAW
03/08/1935,Primera División,Independiente,Boca Juniors,1,1,DRAW
04/05/1935,Primera División,Vélez Sarsfield,Independiente,1,0,LOSS
04/08/1935,Primera División,Gimnasia y Esgrima La Plata,Independiente,0,2,WIN
05/05/1935,Primera División,Independiente,Lanús,5,1,WIN
05/10/1935,Primera División,Lanús,Independiente,2,4,WIN
06/04/1935,Primera División,Independiente,Almagro,1,0,WIN
06/10/1935,Primera División,Ferro Carril Oeste,Independiente,1,1,DRAW
07/04/1935,Primera División,Independiente,Atlanta,7,1,WIN
07/09/1935,Primera División,Ferro Carril Oeste,Independiente,0,1,WIN
07/12/1935,Primera División,Independiente,Banfield,3,1,WIN
08/06/1935,Primera División,Independiente,Sp. Buenos Aires,1,0,WIN
08/09/1935,Primera División,Independiente,River Plate,1,1,DRAW
08/12/1935,Primera División,Independiente,Boca Juniors,2,2,DRAW
09/06/1935,Primera División,Estudiantes de La Plata,Independiente,1,2,WIN
10/08/1935,Primera División,Sp. Barracas,Independiente,0,3,WIN
11/05/1935,Primera División,Independiente,Atlanta,5,2,WIN
11/08/1935,Primera División,Independiente,Vélez Sarsfield,3,1,WIN
12/05/1935,Primera División,Quilmes,Independiente,0,1,WIN
12/10/1935,Primera División,Independiente,All Boys,4,3,WIN
13/10/1935,Primera División,Independiente,Huracán,3,0,WIN
14/04/1935,Primera División,Argentinos Juniors,Independiente,2,3,WIN
14/09/1935,Primera División,Independiente,Chacarita Juniors,1,1,DRAW
15/06/1935,Primera División,Racing Club,Independiente,0,4,WIN
15/09/1935,Primera División,Lanús,Independiente,2,1,LOSS
16/06/1935,Primera División,Independiente,Tigre,0,0,DRAW
16/11/1935,Primera División,Independiente,Quilmes,1,0,WIN
17/03/1935,Primera División,Independiente,Gimnasia y Esgrima La Plata,2,1,WIN
17/08/1935,Primera División,Independiente,Colegiales,1,0,WIN
18/05/1935,Primera División,Argentinos Juniors,Independiente,1,4,WIN
18/08/1935,Primera División,Atlanta,Independiente,0,3,WIN
19/05/1935,Primera División,Independiente,Ferro Carril Oeste,5,1,WIN
19/10/1935,Primera División,Sp. Dock Sud,Independiente,0,3,WIN
19/12/1935,Primera División,Talleres,Independiente,2,6,WIN
20/04/1935,Primera División,Defensores de Belgrano,Independiente,1,5,WIN
20/07/1935,Primera División,Independiente,Estudiantes,5,2,WIN
20/10/1935,Primera División,Platense,Independiente,0,1,WIN
21/04/1935,Primera División,Independiente,Racing Club,2,0,WIN
21/09/1935,Primera División,Excursionistas,Independiente,0,0,DRAW
22/06/1935,Primera División,Independiente,Argentino de Quilmes,4,1,WIN
22/12/1935,Primera División,Independiente,San Lorenzo,3,1,WIN
23/03/1935,Primera División,Independiente,Nueva Chicago,3,0,WIN
23/06/1935,Primera División,Chacarita Juniors,Independiente,1,4,WIN
23/11/1935,Primera División,Independiente,El Porvenir,3,1,WIN
24/08/1935,Primera División,Platense,Independiente,0,0,DRAW
24/11/1935,Primera División,Tigre,Independiente,3,9,WIN
25/05/1935,Primera División,Independiente,River Plate,3,1,WIN
25/08/1935,Primera División,Independiente,Argentinos Juniors,6,0,WIN
26/05/1935,Primera División,Huracán,Independiente,0,2,WIN
27/04/1935,Primera División,Independiente,San Lorenzo,1,0,WIN
27/07/1935,Primera División,Estudiantes de La Plata,Independiente,1,1,DRAW
27/10/1935,Primera División,Independiente,Estudiantes de La Plata,5,2,WIN
28/04/1935,Primera División,River Plate,Independiente,4,3,LOSS
28/07/1935,Primera División,San Lorenzo,Independiente,4,0,LOSS
28/09/1935,Primera División,Independiente,Tigre,3,0,WIN
29/06/1935,Primera División,Temperley,Independiente,2,0,LOSS
30/03/1935,Primera División,Barracas Central,Independiente,0,2,WIN
30/06/1935,Primera División,Boca Juniors,Independiente,1,2,WIN
30/11/1935,Primera División,Estudiantil Porteño,Independiente,0,4,WIN
31/03/1935,Primera División,Vélez Sarsfield,Independiente,2,2,DRAW
31/08/1935,Primera División,Independiente,Huracán,6,1,WIN
