date,competition,home_team,away_team,home_score,away_score,result
01/11/1960,Primera División,River Plate,Independiente,3,0,LOSS
03/04/1960,Primera División,Argentinos Juniors,Independiente,3,3,DRAW
05/06/1960,Primera División,Independiente,Lanús,3,2,WIN
06/11/1960,Primera División,Independiente,Boca Juniors,2,0,WIN
07/08/1960,Primera División,Rosario Central,Independiente,2,2,DRAW
08/05/1960,Primera División,Huracán,Independiente,1,2,WIN
10/04/1960,Primera División,Independiente,Vélez Sarsfield,2,0,WIN
11/09/1960,Primera División,Independiente,Ferro Carril Oeste,2,0,WIN
12/06/1960,Primera División,Chacarita Juniors,Independiente,1,1,DRAW
14/08/1960,Primera División,Independiente,Racing Club,3,3,DRAW
15/05/1960,Primera División,Independiente,Estudiantes de La Plata,3,2,WIN
16/10/1960,Primera División,Independiente,Gimnasia y Esgrima La Plata,2,0,WIN
17/04/1960,Primera División,Ferro Carril Oeste,Independiente,1,0,LOSS
17/11/1960,Primera División,Independiente,Rosario Central,3,0,WIN
18/09/1960,Primera División,San Lorenzo,Independiente,0,1,WIN
19/06/1960,Primera División,Independiente,River Plate,1,0,WIN
20/11/1960,Primera División,Racing Club,Independiente,0,0,DRAW
21/08/1960,Primera División,Independiente,Atlanta,2,0,WIN
22/05/1960,Primera División,Gimnasia y Esgrima La Plata,Independiente,0,4,WIN
23/10/1960,Primera División,Lanús,Independiente,1,2,WIN
24/04/1960,Primera División,Independiente,San Lorenzo,0,2,LOSS
25/09/1960,Primera División,Independiente,Huracán,1,0,WIN
26/06/1960,Primera División,Boca Juniors,Independiente,0,1,WIN
26/07/1960,Primera División,Independiente,Newell’s Old Boys,2,0,WIN
27/11/1960,Primera División,Atlanta,Independiente,1,0,LOSS
28/08/1960,Primera División,Independiente,Argentinos Juniors,0,4,LOSS
29/10/1960,Primera División,Independiente,Chacarita Juniors,1,1,DRAW
